Bus_name,Bus Type,Departure Time,Arrival Time,Duration,Fare,Rating,Seat_Availability,Bus Link,Bus Route
FRESHBUS,Electric A/C Seater (2+2),23:10,05:35,06h 25m,829,4.5,17 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05:35,05h 45m,579,4.4,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:05,06h 27m,834,4.5,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06:00,06h 55m,839,4.4,20 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06:30,06h 31m,1479,4.5,11 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
FRESHBUS,Electric A/C Seater (2+2),00:20,06:30,06h 10m,629,4.5,28 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:45,05:25,05h 40m,679,4.5,20 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),00:15,06:25,06h 10m,929,4.2,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:30,05:25,06h 55m,522,4.4,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
NueGo,Electric A/C Seater (2+2),22:35,05:15,06h 40m,819,4.5,16 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05:00,05h 20m,400,3.1,22 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,400,4.2,33 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04:00,04h 20m,390,4.2,23 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,400,4.2,23 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
RRR Travels,A/C Sleeper (2+1),23:50,05:30,05h 40m,650,4.5,17 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri KVR Travels,A/C Sleeper (2+1),23:58,05:00,05h 02m,480,5.0,23 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05:30,05h 31m,700,5.0,12 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,390,4.0,27 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),23:59,06:05,06h 06m,500,4.4,33 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
BSR Tours And Travels,A/C Sleeper (2+1),23:59,06:00,06h 01m,780,4.3,8 Seats available,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Gupta Travels Galaxy,NON A/C Seater / Sleeper (2+2),21:00,03:15,06h 15m,700,3.8,10 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:15,03:00,05h 45m,810,4.9,3 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),21:20,03:30,06h 10m,600,4.7,7 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Bharathi Tours & Travels,NON A/C Hi-Tech (2+2),21:20,03:00,05h 40m,800,4.3,13 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:30,03:15,05h 45m,890,4.3,12 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),21:45,03:30,05h 45m,650,3.9,10 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),21:45,03:50,06h 05m,650,3.5,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Siri Tours and Travels,Non A/C Seater / Sleeper (2+1),21:50,02:30,04h 40m,890,3.0,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri KVR Travels,A/C Sleeper (2+1),22:00,04:00,06h 00m,850,4.1,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
BSR Tours And Travels,NON A/C Seater (2+2),22:00,02:30,04h 30m,780,3.1,26 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
SAIRAJ TRAVELS,NON A/C Seater (2+2),22:15,03:30,05h 15m,890,4.1,6 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
SAIRAJ TRAVELS,NON A/C Seater (2+2),22:15,03:30,05h 15m,890,4.2,10 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),22:30,03:30,05h 00m,800,4.1,21 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
SBS Tours and Travels,Non A/C Seater / Sleeper (2+1),22:45,03:15,04h 30m,690,,6 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:45,03:00,03h 15m,950,3.9,31 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 1266,Super Luxury (Non AC Seater 2+2 Push Back),17:00,23:00,06h 00m,442,4.4,,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1254,Super Luxury (Non AC Seater 2+2 Push Back),20:10,08:30,12h 20m,442,4.4,21 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1256,Super Luxury (Non AC Seater 2+2 Push Back),21:45,08:35,10h 50m,442,4.6,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1250,Super Luxury (Non AC Seater 2+2 Push Back),21:45,08:30,10h 45m,442,4.3,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
TGSRTC - 1286,Super Luxury (Non AC Seater 2+2 Push Back),22:00,08:30,10h 30m,442,4.1,19 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam
Orange Tours And Travels,A/C Sleeper (2+1),18:15,21:40,03h 25m,400,2.4,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
Morning Star Travels,Scania AC Multi Axle Sleeper (2+1),18:00,21:55,03h 55m,790,5.0,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
IRA Travels,A/C Sleeper (2+1),18:30,21:45,03h 15m,849,3.9,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
DNR Express,AC Sleeper (2+1),21:30,23:59,02h 29m,998,2.9,,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
Bhumi travels,AC Seater (2+2),22:00,03:00,05h 00m,2000,2.4,36 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
Shree Saipooja Travels,A/C Seater/Sleeper (2+1),23:10,02:30,03h 20m,899,2.8,5 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
TGSRTC - 77374,SEMI DELUXE,20:30,01:50,05h 20m,537,3.8,21 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
DNR Express,AC Sleeper (2+1),21:30,02:00,04h 30m,998,2.4,7 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
Muskan Travels,A/C Seater (2+2),17:00,21:45,04h 45m,619,3.0,,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
GDR Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,22:00,04h 00m,550,3.3,,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Sahara Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,21:45,03h 45m,550,3.7,,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),19:00,23:15,04h 15m,1800,5.0,,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Pooja Travels,A/C Sleeper (2+1),20:00,03:30,07h 30m,1100,5.0,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Pooja Travels,A/C Sleeper (2+1),20:10,02:30,06h 20m,1000,3.0,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Lucky travels,NON A/C Sleeper (2+1),22:15,02:00,03h 45m,623,4.1,1 Seat available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Pooja Travels,NON A/C Seater (2+2),21:00,02:00,05h 00m,700,3.0,6 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Ameena Travels,A/C Sleeper (2+1),21:50,03:00,05h 10m,1110,4.4,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Saini Travels Pvt. Ltd.,Volvo Multi Axle Sleeper B11R (2+1),21:55,01:55,04h 00m,1300,3.8,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Metro Tours and Travels,NON A/C Sleeper (2+1),22:15,04:15,06h 00m,700,3.0,1 Seat available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Saini Travels Pvt. Ltd.,Volvo 9600 Multi-Axle A/C Sleeper (2+1),22:30,02:30,04h 00m,1300,3.8,42 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
New Royal Travels (Raipur),A/C Sleeper (2+1),17:30,21:45,04h 15m,1600,1.0,,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Orange Tours And Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),18:00,22:00,04h 00m,800,2.8,,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
New Royal Travels (Raipur),A/C Sleeper (2+1),20:00,00:45,04h 45m,1429,1.0,21 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal
Orange Tours And Travels,Volvo Multi-Axle A/C Semi Sleeper (2+2),18:00,23:15,05h 15m,550,3.7,,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Sahara Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,23:15,05h 15m,550,3.5,,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
GDR Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,23:15,05h 15m,550,3.2,,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Orange Tours And Travels,A/C Sleeper (2+1),22:00,03:45,05h 45m,1000,4.2,12 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Lucky travels,NON A/C Sleeper (2+1),22:15,06:00,07h 45m,818,3.6,1 Seat available,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
SRS Travels,Scania Multi-Axle AC Semi Sleeper (2+2),22:30,04:00,05h 30m,1150,3.3,11 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Pooja Travels,A/C Sleeper (2+1),20:10,04:35,08h 25m,1000,3.2,6 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),19:00,00:30,05h 30m,1400,3.6,1 Seat available,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),23:50,04:45,04h 55m,1100,2.3,5 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Orange Tours And Travels,A/C Sleeper (2+1),22:00,03:45,05h 45m,1000,2.8,7 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad
Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,890,4.4,6 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Chandu Travels,A/C Sleeper (2+1),22:00,05:45,07h 45m,1131,4.1,16 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:30,05:45,08h 15m,1070,4.1,14 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),21:30,05:45,08h 15m,1160,4.4,8 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
V Kaveri Travels,A/C Sleeper (2+1),22:00,06:15,08h 15m,1160,4.2,10 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
V Kaveri Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:30,05:30,08h 00m,1200,4.0,11 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Sri Lakshmi Narasimha Travels (SLNT),Non A/C Seater / Sleeper (2+1),20:00,04:30,08h 30m,750,4.4,8 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:40,06:15,08h 35m,1189,4.4,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Mozo travels,A/C Sleeper (2+1),22:00,04:50,06h 50m,900,4.1,11 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
Kaveri Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),21:00,04:00,07h 00m,1180,4.9,8 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
BSR Tours And Travels,A/C Sleeper (2+1),23:30,06:00,06h 30m,780,4.4,8 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
BSR Tours And Travels,A/C Seater / Sleeper (2+1),23:15,06:00,06h 45m,580,4.6,24 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
SAIRAJ TRAVELS,A/C Sleeper (2+1),23:00,05:30,06h 30m,700,4.6,12 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:20,05:00,05h 40m,390,4.4,18 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
SAIRAJ TRAVELS,NON A/C Seater (2+2),23:00,06:15,07h 15m,400,4.4,26 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),23:00,05:00,06h 00m,690,4.9,20 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),23:05,05:00,05h 55m,500,4.0,36 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
VSR Tours and Travels,A/C Sleeper (2+1),23:30,06:00,06h 30m,649,4.8,21 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
Morning Star Travels,A/C Sleeper (2+1),23:15,04:20,05h 05m,600,3.0,7 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),23:30,05:30,06h 00m,690,5.0,18 Seats available,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad
Yolo Bus,A/C Seater / Sleeper (2+1),22:15,06:07,07h 52m,450,4.3,23 Seats available,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
IntrCity SmartBus,AC Sleeper (2+1),22:55,05:25,06h 30m,769,4.6,12 Seats available,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),22:45,05:10,06h 25m,499,4.4,23 Seats available,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad
Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06:50,07h 12m,868,4.5,30 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:30,07:15,07h 45m,1479,4.5,11 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),23:30,06:10,06h 40m,649,4.4,20 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
NueGo,,22:35,06:35,08h 00m,820,4.4,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
Morning Star Travels,Scania AC Multi Axle Sleeper (2+1),16:30,21:55,05h 25m,790,1.0,,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Godavarikhani to Hyderabad
Orange Tours And Travels,A/C Sleeper (2+1),17:00,21:40,04h 40m,500,2.9,,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Godavarikhani to Hyderabad
BSR Tours And Travels,A/C Sleeper (2+1),22:00,04:30,06h 30m,1180,4.7,3 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
SAIRAJ TRAVELS,A/C Sleeper (2+1),22:15,05:00,06h 45m,1890,4.5,1 Seat available,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
Bharathi Tours & Travels,A/C Sleeper (2+1),21:20,04:50,07h 30m,1390,4.8,11 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),22:35,05:30,06h 55m,1000,4.2,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem
Mozo travels,A/C Seater / Sleeper (2+1),22:40,05:05,06h 25m,1000,4.7,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),22:30,05:00,06h 30m,800,4.3,16 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
BSR Tours And Travels,NON A/C Seater (2+2),22:00,05:00,07h 00m,780,4.0,26 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
Mythri Tours And Travels,A/C Sleeper (2+1),23:00,04:15,05h 15m,999,4.8,20 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally
APSRTC - 3793,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:40,02:45,03h 05m,318,4.8,12 Seats available,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
NueGo,Electric A/C Seater (2+2),16:45,20:35,03h 50m,356,3.4,,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
NueGo,Electric A/C Seater (2+2),18:20,22:10,03h 50m,356,4.2,,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
Sri Sai Padmavathi Travels,A/C Seater/Sleeper (2+1),23:55,04:00,04h 05m,450,4.0,27 Seats available,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
Sri Sai Padmavathi Travels,,23:55,04:45,04h 50m,500,4.0,,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad
SLVR Travels,Non A/C Seater / Sleeper (2+1),17:30,23:35,06h 05m,900,2.8,,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,Jagityal to Hyderabad
Harikrishna Travels,Non A/C Seater / Sleeper (2+1),17:30,23:55,06h 25m,1000,2.9,,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,Jagityal to Hyderabad
SAIRAJ TRAVELS,A/C Seater / Sleeper (2+1),22:15,05:45,07h 30m,1090,4.7,13 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),22:35,06:30,07h 55m,1000,4.2,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
Bharathi Tours & Travels,A/C Sleeper (2+1),21:20,05:50,08h 30m,1390,4.4,11 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
VSR Tours and Travels,A/C Sleeper (2+1),23:00,05:30,06h 30m,1299,4.2,5 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),18:30,06:39,12h 09m,740,4.4,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
Jagan Travels,A/C Seater / Sleeper (2+1),22:00,09:30,11h 30m,900,4.4,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
Vandana Travels,A/C Seater / Sleeper (2+1),22:20,09:00,10h 40m,850,4.0,17 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
GDR Tours and Travels,Bharat Benz A/C Seater (2+2),18:00,21:30,03h 30m,550,3.7,,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
Vijayant Travels,A/C Sleeper (2+1),21:45,01:15,03h 30m,1200,1.0,16 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
Orange Tours And Travels,A/C Sleeper (2+1),22:00,01:45,03h 45m,1000,1.0,13 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor
Indu Travels,Non A/C Seater / Sleeper (2+1),22:00,04:30,06h 30m,800,4.3,10 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
Indu Travels,Non A/C Seater / Sleeper (2+1),21:45,04:20,06h 35m,800,4.1,16 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
VEERA BRAHMENDRA TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,04:20,06h 50m,750,4.1,17 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
BRS Travels,NON AC Seater / Sleeper 2+1,22:30,05:00,06h 30m,900,4.1,3 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,Hyderabad to Nandyal
NueGo,Electric A/C Seater (2+2),16:25,20:25,04h 00m,404,4.7,,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
Anjani Bus,A/C Seater / Sleeper (2+1),21:30,03:00,05h 30m,649,3.9,16 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:30,02:45,05h 15m,710,3.7,8 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
NueGo,,22:00,03:25,05h 25m,759,5.0,,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,Hyderabad to Kodad
Orange Tours And Travels,NON A/C Seater/ Sleeper (2+1),22:30,06:00,07h 30m,900,3.6,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Hyderabad to Addanki
Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:40,05:30,07h 50m,1189,4.1,9 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,Hyderabad to Addanki
